[] [9/14/2016 23:20] [] USER = ADMIN IS ACTIVE
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [disc2]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [discRP]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [productName]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [productName]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [productName]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [productID]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] updateSomeRowsContent, PRODUCT_BASE_PRICE [51000]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [productPrice]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [qty]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [subtotal]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [subtotal]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] updateSomeRowsContent, attempt to calculate total
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [SOqty]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [disc1]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [disc2]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [discRP]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [qty]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [subtotal]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [qty]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [subtotal]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [qty]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [subtotal]
[ADMIN] [9/14/2016 23:21] [RETUR PENJUALAN] RETUR PENJUALAN : detailReturDataGridView_CellValueChanged [qty]
